[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.05, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\basic (iter 0 = 초기 network)
iter  25 | step 1249950 | return   -7.172 | len  399.4 | damage  0.015 | dist -6.147 | aim -0.000 | ent  6.099 | kl 0.0324 | ev  0.941 | altT 69 | pool1 W/L/D 56/69/0 raw_wr 0.45 ema[min 0.347 mean 0.347]
iter  26 | step 1299948 | return   -7.407 | len  408.9 | damage  0.001 | dist -6.424 | aim  0.000 | ent  6.135 | kl 0.0324 | ev  0.947 | altT 67 | pool1 W/L/D 55/67/0 raw_wr 0.45 ema[min 0.352 mean 0.352]
iter  27 | step 1349946 | return   -5.212 | len  424.5 | damage  0.004 | dist -5.815 | aim -0.000 | ent  6.089 | kl 0.0304 | ev  0.953 | altT 55 | pool1 W/L/D 62/55/0 raw_wr 0.53 ema[min 0.361 mean 0.361]
iter  28 | step 1399944 | return   -2.859 | len  414.6 | damage  0.014 | dist -5.270 | aim  0.000 | ent  6.019 | kl 0.0325 | ev  0.960 | altT 46 | pool1 W/L/D 75/46/0 raw_wr 0.62 ema[min 0.374 mean 0.374]
iter  29 | step 1449942 | return   -2.156 | len  425.3 | damage  0.002 | dist -5.209 | aim  0.000 | ent  5.961 | kl 0.0293 | ev  0.948 | altT 41 | pool1 W/L/D 77/41/0 raw_wr 0.65 ema[min 0.388 mean 0.388]
iter  30 | step 1499940 | return    1.076 | len  443.0 | damage -0.004 | dist -5.170 | aim -0.000 | ent  5.981 | kl 0.0299 | ev  0.947 | altT 21 | pool1 W/L/D 91/21/0 raw_wr 0.81 ema[min 0.409 mean 0.409]
iter  31 | step 1549938 | return    2.233 | len  440.1 | damage -0.002 | dist -4.729 | aim  0.000 | ent  5.878 | kl 0.0286 | ev  0.957 | altT 17 | pool1 W/L/D 95/17/0 raw_wr 0.85 ema[min 0.431 mean 0.431]
iter  32 | step 1599936 | return    3.648 | len  441.3 | damage  0.011 | dist -4.451 | aim  0.000 | ent  5.798 | kl 0.0302 | ev  0.960 | altT 11 | pool1 W/L/D 104/11/0 raw_wr 0.90 ema[min 0.455 mean 0.455]
iter  33 | step 1649934 | return    3.720 | len  433.4 | damage  0.009 | dist -4.048 | aim -0.000 | ent  5.832 | kl 0.0296 | ev  0.959 | altT 13 | pool1 W/L/D 103/13/0 raw_wr 0.89 ema[min 0.476 mean 0.476]
iter  34 | step 1699932 | return    3.751 | len  434.8 | damage  0.009 | dist -3.802 | aim  0.000 | ent  5.816 | kl 0.0291 | ev  0.964 | altT 14 | pool1 W/L/D 100/14/0 raw_wr 0.88 ema[min 0.496 mean 0.496]
iter  35 | step 1749930 | return    3.452 | len  460.6 | damage -0.007 | dist -4.134 | aim  0.000 | ent  5.761 | kl 0.0299 | ev  0.944 | altT 13 | pool1 W/L/D 95/13/0 raw_wr 0.88 ema[min 0.515 mean 0.515]
iter  36 | step 1799928 | return    4.885 | len  463.3 | damage  0.007 | dist -3.486 | aim  0.000 | ent  5.789 | kl 0.0275 | ev  0.955 | altT 9 | pool1 W/L/D 101/9/0 raw_wr 0.92 ema[min 0.536 mean 0.536]
iter  37 | step 1849926 | return    4.993 | len  445.8 | damage  0.016 | dist -3.387 | aim  0.000 | ent  5.707 | kl 0.0324 | ev  0.914 | altT 9 | pool1 W/L/D 101/9/0 raw_wr 0.92 ema[min 0.555 mean 0.555]
