cycle,global_step,grad_steps,achieved_utd,mean_return,mean_length,completed_episodes,ep_damage,ep_shaping,ep_terminal,win,loss,draw,raw_win_rate,altitude_term,bt_win_rate,bt_games,pool_size,opp_added,q_loss,actor_loss,alpha,alpha_loss,policy_entropy,q_mean,q_ensemble_std,q_pessimism,td_target_mean,explained_variance,buffer_size,buffer_age_p50,buffer_age_p90,buffer_bt_frac,elapsed_sec
24,47952,190000,3.962,-9.6550,1267.0,1,-4.9758,-4.6792,0.0000,0,1,0,0.0000,0,0.0000,1,3,0,0.00435,9.25411,0.00331,-0.037614,6.0957,-2.3401,0.03048,0.04834,-2.3402,0.9998,47952,24142,43290,0.768,300.75
25,49950,200000,4.004,-9.6169,882.0,4,-2.4359,-3.4310,-3.7500,1,3,0,0.2500,1,0.0000,3,3,0,0.00438,9.09631,0.00311,-0.032655,6.0947,-2.2989,0.03063,0.04866,-2.2989,0.9998,49950,25142,44988,0.765,298.12
26,51948,210000,4.043,-22.6577,821.3,3,-1.4795,-1.1782,-20.0000,0,3,0,0.0000,3,0.0000,3,3,0,0.00584,9.26939,0.00301,-0.006938,6.0902,-2.3421,0.03100,0.04923,-2.3421,0.9998,51948,26140,46953,0.754,293.34
27,53946,220000,4.078,-25.6863,680.0,3,-0.1083,-5.5780,-20.0000,0,3,0,0.0000,3,0.0000,1,3,0,0.00653,9.66030,0.00289,-0.019193,6.0923,-2.4392,0.03080,0.04886,-2.4392,0.9997,53946,27140,48618,0.748,302.37
28,55944,230000,4.111,-8.5768,626.0,3,-0.0460,-5.1975,-3.3333,2,1,0,0.6667,1,0.0000,1,3,0,0.00514,9.85029,0.00292,-0.021044,6.0926,-2.4861,0.03093,0.04907,-2.4861,0.9998,55944,28138,50616,0.740,307.00
29,57942,240000,4.142,-14.7338,567.0,3,-0.0021,-3.0650,-11.6667,1,2,0,0.3333,2,0.0000,1,3,0,0.00614,9.91840,0.00293,0.062994,6.0783,-2.5024,0.03384,0.05376,-2.5025,0.9997,57942,29138,52281,0.742,300.89
30,59940,250000,4.171,-15.0997,907.5,2,-2.4691,-2.6306,-10.0000,0,2,0,0.0000,1,0.0000,2,3,0,0.00409,10.09202,0.00266,-0.051596,6.0977,-2.5436,0.03165,0.05026,-2.5437,0.9998,59940,30136,53979,0.745,297.26
31,61938,260000,4.198,-24.2340,713.0,3,-0.3127,-3.9213,-20.0000,0,3,0,0.0000,3,0.0000,2,3,0,0.00386,10.23822,0.00247,-0.025897,6.0934,-2.5783,0.03018,0.04792,-2.5784,0.9998,61938,31136,55944,0.750,302.48
32,63936,270000,4.223,-22.6740,619.5,2,-0.2170,-2.4570,-20.0000,0,2,0,0.0000,2,0.0000,2,3,0,0.00393,10.37785,0.00226,-0.036510,6.0951,-2.6120,0.02926,0.04647,-2.6120,0.9998,63936,32134,57609,0.758,298.81
33,65934,280000,4.247,-21.8069,860.8,4,-0.3485,-1.4584,-20.0000,0,4,0,0.0000,4,0.0000,4,3,0,0.00419,10.67779,0.00224,-0.009455,6.0906,-2.6863,0.03005,0.04777,-2.6863,0.9998,65934,33134,59607,0.765,303.29
34,67932,290000,4.269,-15.8548,741.5,2,-2.9037,-2.9512,-10.0000,0,2,0,0.0000,1,0.0000,2,3,0,0.00308,10.87776,0.00208,-0.043470,6.0961,-2.7345,0.02850,0.04529,-2.7345,0.9999,67932,34132,61272,0.772,303.30
35,69930,300000,4.290,-21.6557,657.5,2,-0.1747,-1.4810,-20.0000,0,2,0,0.0000,2,0.0000,2,3,0,0.00311,10.98781,0.00203,-0.015002,6.0915,-2.7613,0.02881,0.04579,-2.7613,0.9999,69930,35132,62970,0.774,307.61
36,71928,310000,4.310,-9.3399,533.0,2,0.0000,-1.8399,-7.5000,1,1,0,0.5000,1,0.0000,1,3,0,0.00435,11.04385,0.00208,0.021639,6.0856,-2.7755,0.03107,0.04940,-2.7755,0.9998,71928,36130,64935,0.776,309.31
37,73926,320000,4.329,-19.2597,798.0,3,-1.6439,-4.2824,-13.3333,0,3,0,0.0000,2,0.0000,2,3,0,0.00282,11.09579,0.00195,-0.047426,6.0966,-2.7873,0.02869,0.04561,-2.7873,0.9999,73926,37130,66600,0.775,300.02
38,75924,330000,4.346,-12.5285,805.2,4,-1.2459,-2.5326,-8.7500,1,3,0,0.2500,2,0.0000,3,3,0,0.00241,11.07475,0.00180,-0.040304,6.0954,-2.7810,0.02785,0.04431,-2.7810,0.9999,75924,38128,68598,0.775,301.92
39,77922,340000,4.363,-12.9701,601.6,5,-0.3115,-2.6586,-10.0000,2,3,0,0.4000,3,0.0000,3,3,0,0.00237,11.14247,0.00173,-0.024227,6.0929,-2.7973,0.02735,0.04349,-2.7973,0.9999,77922,39128,70263,0.775,297.89
40,79920,350000,4.379,-21.8802,660.0,1,0.0000,-1.8802,-20.0000,0,1,0,0.0000,1,0.0000,1,3,0,0.00296,11.17097,0.00166,-0.002667,6.0895,-2.8045,0.02791,0.04439,-2.8045,0.9999,79920,40126,71961,0.781,302.58
41,81918,360000,4.395,-20.3952,589.2,4,-0.2060,-0.1892,-20.0000,0,4,0,0.0000,4,0.0000,4,3,0,0.00366,11.23564,0.00163,-0.016500,6.0916,-2.8209,0.02792,0.04444,-2.8209,0.9999,81918,41126,73926,0.782,303.02
42,83916,370000,4.409,-11.0073,734.7,3,-1.6223,-4.3849,-5.0000,1,2,0,0.3333,1,0.0000,2,3,0,0.00278,11.22788,0.00161,0.019642,6.0860,-2.8182,0.02729,0.04343,-2.8182,0.9999,83916,42124,75591,0.785,295.74
43,85914,380000,4.423,nan,nan,0,nan,nan,nan,0,0,0,nan,0,nan,0,3,0,0.00257,11.17712,0.00160,-0.038754,6.0951,-2.8054,0.02730,0.04341,-2.8054,0.9999,85914,43124,77589,0.790,289.77
