iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec
1,99996,-1.1069,1844.5,51,-0.00430,0.00263,4.0690,0.01698,0.5403,0.0000,0.0054,0.0000,0.2603,-1.3725,149.11
2,199992,0.5328,1844.0,55,0.00337,0.00575,4.2538,0.01740,0.6574,0.0000,0.1233,0.0000,0.2277,0.1818,143.37
3,299988,-0.4324,1905.7,53,-0.02254,0.00401,4.0027,0.01736,0.3383,0.0000,0.0837,0.0000,0.2387,-0.7547,145.73
4,399984,-0.0986,1855.6,53,-0.00945,0.00349,3.9989,0.01741,0.5762,0.0000,0.0442,0.0000,0.2345,-0.3774,139.37
5,499980,-0.4541,1921.3,52,-0.00776,0.00117,3.9038,0.01708,0.5302,0.0000,0.0644,0.0000,0.2507,-0.7692,137.15
6,599976,-2.9157,1779.6,53,-0.01543,0.00270,4.1182,0.01955,0.6614,0.0000,0.0567,0.0000,0.2352,-3.2075,140.04
7,699972,0.4822,1847.4,56,-0.01804,0.00035,3.8838,0.01823,0.5583,0.0000,0.0678,0.0000,0.2358,0.1786,140.00
8,799968,0.6329,1842.2,54,-0.00291,0.00062,4.0991,0.01877,0.3756,0.0000,0.0133,0.0000,0.2492,0.3704,140.14
9,899964,0.2557,1794.3,55,-0.02891,0.00398,3.9008,0.01895,0.6018,0.0000,0.0088,0.0000,0.2468,0.0000,139.28
10,999960,-1.1427,1789.0,55,-0.01971,0.00126,3.9695,0.01927,0.6857,0.0000,0.0485,0.0000,0.2633,-1.4545,136.83
11,1099956,-0.4706,1793.7,53,-0.02269,0.01168,4.1329,0.01944,0.5407,0.0000,0.0344,0.0000,0.2498,-0.7547,139.74
12,1199952,0.0840,1780.9,55,-0.00970,0.00244,4.0770,0.01864,0.5337,0.0000,0.0194,0.0000,0.2464,-0.1818,137.40
13,1299948,1.3845,1834.8,55,0.03398,0.00529,4.0582,0.02069,0.6083,0.0000,0.0610,0.0000,0.2325,1.0909,132.59
