iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec
14,1399944,-0.6968,1636.4,61,-0.01357,0.00495,4.1091,0.02065,0.5482,0.0000,0.0591,0.0000,0.2277,-0.9836,150.10
15,1499940,0.7606,1649.0,61,-0.01173,0.00311,4.0505,0.01909,0.5486,0.0000,0.0359,0.0000,0.2329,0.4918,133.62
16,1599936,-0.1649,1675.9,57,-0.01240,0.00085,4.0738,0.01772,0.5697,0.0000,0.1345,0.0000,0.2269,-0.5263,132.99
17,1699932,-0.0390,1703.8,58,-0.02242,0.00367,4.0791,0.02097,0.5578,0.0000,0.0624,0.0000,0.2434,-0.3448,133.15
18,1799928,0.4352,1544.0,64,-0.01106,0.00358,4.0247,0.01875,0.3858,0.0000,0.0572,0.0000,0.2218,0.1562,133.87
19,1899924,0.0221,1477.3,69,-0.01073,0.00692,3.9814,0.02035,0.5866,0.0000,0.1075,0.0000,0.2045,-0.2899,132.53
20,1999920,0.0483,1477.8,69,-0.01980,0.01138,4.0053,0.01885,0.6496,0.0000,0.1390,0.0000,0.1992,-0.2899,132.52
21,2099916,-2.2188,1449.8,65,-0.01298,0.00456,4.0888,0.01996,0.7509,0.0000,0.0271,0.0000,0.2156,-2.4615,131.07
22,2199912,-0.6809,1672.5,59,-0.00881,0.00166,4.1776,0.01989,0.5729,0.0000,0.0805,0.0000,0.2555,-1.0169,131.59
23,2299908,-0.4605,1278.5,79,0.02003,0.00070,4.2969,0.01940,0.7122,0.0000,0.0848,0.0000,0.2142,-0.7595,132.22
24,2399904,-0.4591,1183.6,84,-0.00932,0.00470,4.3153,0.02153,0.5998,0.0000,0.1716,0.0000,0.2027,-0.8333,132.29
25,2499900,-1.3937,1204.8,84,-0.00735,0.00439,4.2952,0.02009,0.7637,0.0000,0.1790,0.0000,0.2130,-1.7857,132.15
26,2599896,-0.2059,1300.4,73,-0.02310,0.00340,4.3807,0.02036,0.6869,0.0000,0.1347,0.0000,0.2073,-0.5479,131.78
27,2699892,-0.0220,1143.3,85,-0.02358,0.00228,4.1840,0.01816,0.8186,0.0000,0.1220,0.0000,0.2089,-0.3529,132.30
28,2799888,-1.3329,947.5,110,-0.02898,0.01087,4.1877,0.01973,0.7860,0.0000,0.1182,0.0000,0.1853,-1.6364,133.55
29,2899884,-1.3468,1111.8,88,-0.02305,0.01552,4.1226,0.02065,0.7707,0.0000,0.1663,0.0000,0.1914,-1.7045,131.98
30,2999880,-0.9861,1297.9,76,-0.00027,0.00255,4.1394,0.01947,0.7408,0.0000,0.1264,0.0000,0.2032,-1.3158,134.35
31,3099876,-0.7588,1106.6,85,-0.03827,0.00369,4.4344,0.01989,0.7759,0.0000,0.1127,0.0000,0.1873,-1.0588,140.69
32,3199872,0.9756,1253.0,80,-0.01331,0.00143,4.0402,0.01958,0.7536,0.0000,0.2670,0.0000,0.2086,0.5000,140.89
33,3299868,-2.0084,1282.1,78,-0.00917,0.00215,3.9443,0.01846,0.8109,0.0000,0.1959,0.0000,0.2317,-2.4359,140.77
34,3399864,-0.0044,1350.3,75,-0.00021,0.00290,4.1647,0.01923,0.8203,0.0000,0.2932,0.0000,0.2357,-0.5333,141.33
35,3499860,-0.3108,1177.6,85,-0.01492,0.00412,4.4461,0.01890,0.7299,0.0000,0.3065,0.0000,0.2062,-0.8235,141.05
36,3599856,-0.3525,1161.7,82,0.00525,0.00435,4.1616,0.01852,0.8011,0.0000,0.0557,0.0000,0.2016,-0.6098,140.52
37,3699852,1.8769,1245.5,80,-0.00420,0.00406,4.1703,0.01939,0.7636,0.0000,0.1669,0.0000,0.2100,1.5000,141.33
38,3799848,0.9962,1272.8,79,-0.01148,0.00339,4.0770,0.01867,0.7573,0.0000,0.2804,0.0000,0.2095,0.5063,140.52
39,3899844,0.5436,1266.8,77,-0.00071,0.00235,4.0214,0.01896,0.7797,0.0000,0.0701,0.0000,0.2138,0.2597,141.18
40,3999840,0.1454,1352.8,75,-0.02596,0.00469,4.2014,0.02023,0.7870,0.0000,0.3487,0.0000,0.1966,-0.4000,141.87
41,4099836,-1.2681,1353.5,71,-0.01944,0.00846,4.1931,0.01857,0.6701,0.0000,0.1112,0.0000,0.1699,-1.5493,140.51
42,4199832,0.7709,1619.2,61,-0.00411,0.00132,3.9690,0.01794,0.5775,0.0000,0.0652,0.0000,0.2138,0.4918,140.98
43,4299828,0.9016,1667.4,59,-0.01857,0.00139,4.0339,0.01857,0.6700,0.0000,0.1459,0.0000,0.2473,0.5085,140.35
44,4399824,-0.0730,1604.1,62,-0.02339,0.00333,4.0091,0.01800,0.6790,0.0000,0.0069,0.0000,0.2427,-0.3226,140.02
45,4499820,0.7369,1528.9,66,-0.01855,0.00423,4.1643,0.01976,0.6263,0.0000,0.0469,0.0000,0.2354,0.4545,140.31
46,4599816,0.0413,1395.7,68,0.02539,0.00319,4.1597,0.01974,0.6331,0.0000,0.2646,0.0000,0.2178,-0.4412,142.00
47,4699812,-1.4938,1389.3,72,-0.00510,0.00321,3.9912,0.01981,0.7197,0.0000,0.0704,0.0000,0.2414,-1.8056,139.67
48,4799808,-0.1153,1454.9,70,0.00708,0.00186,4.1259,0.02021,0.6714,0.0000,0.0986,0.0000,0.2147,-0.4286,141.98
49,4899804,0.6727,1567.8,62,-0.01010,0.00085,4.1739,0.01930,0.7285,0.0000,0.1236,0.0000,0.2264,0.3226,133.61
50,4999800,0.7453,1609.1,62,-0.02282,0.00098,3.9604,0.01991,0.6060,0.0000,0.1979,0.0000,0.2249,0.3226,139.19
51,5099796,0.3273,1357.7,68,-0.01778,0.00469,4.0147,0.02065,0.6359,0.0000,0.2663,0.0000,0.2081,-0.1471,139.92
52,5199792,0.1825,1389.9,73,-0.00985,0.00684,4.1872,0.02125,0.6969,0.0000,0.1029,0.0000,0.2166,-0.1370,152.79
53,5299788,-0.2520,1509.8,66,-0.01812,0.00102,4.0274,0.02021,0.7381,0.0000,0.1192,0.0000,0.2349,-0.6061,140.42
54,5399784,1.3518,1475.1,67,-0.01689,0.00213,3.9870,0.02008,0.7825,0.0000,0.0917,0.0000,0.2153,1.0448,140.23
55,5499780,1.1714,1544.2,68,-0.02681,0.00055,4.1645,0.01975,0.6784,0.0000,0.0770,0.0000,0.2121,0.8824,140.22
56,5599776,1.3673,1224.4,78,0.00814,0.00266,4.0770,0.02060,0.6693,0.0000,0.3529,0.0000,0.2452,0.7692,141.51
57,5699772,-0.2874,1294.0,77,-0.01922,0.00536,4.2344,0.02149,0.7420,0.0000,0.1622,0.0000,0.1998,-0.6494,141.82
58,5799768,-1.2555,1319.4,76,-0.02009,0.00384,4.1653,0.02104,0.7388,0.0000,0.2620,0.0000,0.1931,-1.7105,141.54
59,5899764,0.7117,1336.5,75,-0.00956,0.00306,4.1891,0.01954,0.7785,0.0000,0.2475,0.0000,0.1975,0.2667,142.12
60,5999760,2.0126,1317.9,75,0.00871,0.02501,4.4002,0.02040,0.7749,0.0000,0.4519,0.0000,0.2273,1.3333,142.20
61,6099756,-0.2173,1334.9,72,-0.01434,0.00359,4.3582,0.02077,0.8005,0.0000,0.2520,0.0000,0.2252,-0.6944,141.39
62,6199752,0.2573,1418.3,69,-0.02799,0.00269,4.0763,0.01995,0.7035,0.0000,0.1792,0.0000,0.2231,-0.1449,141.94
63,6299748,-0.9030,1246.4,81,0.00470,0.00178,4.1405,0.01839,0.6504,0.0000,0.1043,0.0000,0.2272,-1.2346,142.28
64,6399744,1.0352,1404.2,71,-0.02015,0.00128,4.1295,0.02034,0.7516,0.0000,0.2594,0.0000,0.2124,0.5634,138.60
65,6499740,0.1946,1275.5,78,-0.01012,0.00245,4.0425,0.01993,0.6924,0.0000,0.2143,0.0000,0.2367,-0.2564,136.57
66,6599736,1.4625,1499.2,62,-0.00515,0.00469,4.0450,0.01979,0.7031,0.0000,0.1150,0.0000,0.2185,1.1290,135.06
67,6699732,-1.2324,1303.9,78,-0.02102,0.00158,4.1430,0.01961,0.6089,0.0000,0.3598,0.0000,0.2027,-1.7949,135.33
68,6799728,1.1014,1380.1,72,-0.02381,0.00846,4.1214,0.02134,0.7996,0.0000,0.3045,0.0000,0.2414,0.5556,135.88
69,6899724,0.1518,1290.7,78,-0.02310,0.00222,4.0411,0.01910,0.7884,0.0000,0.1724,0.0000,0.2358,-0.2564,136.07
70,6999720,-1.5145,1189.0,84,-0.01271,0.00351,3.9271,0.01944,0.7695,0.0000,0.0858,0.0000,0.1855,-1.7857,136.75
71,7099716,0.7625,1234.3,78,-0.00071,0.00273,3.9681,0.02015,0.7158,0.0000,0.1774,0.0000,0.2005,0.3846,136.22
72,7199712,3.1428,1279.4,76,-0.02273,0.01550,4.0519,0.02013,0.6937,0.0000,0.2544,0.0000,0.2569,2.6316,135.67
73,7299708,1.9470,1180.1,87,-0.03592,0.00630,4.0625,0.02064,0.6317,0.0000,0.2645,0.0000,0.1882,1.4943,135.73
74,7399704,-0.3711,1147.8,88,-0.01096,0.01004,4.1212,0.02160,0.6744,0.0000,0.3140,0.0000,0.2240,-0.9091,136.33
75,7499700,0.5711,1083.2,91,-0.03436,0.00216,3.9697,0.02014,0.7884,0.0000,0.1513,0.0000,0.2000,0.2198,135.63
76,7599696,1.0339,1138.7,84,0.00069,0.00360,4.0070,0.02081,0.6800,0.0000,0.2169,0.0000,0.2217,0.5952,134.90
77,7699692,-0.6938,1285.4,77,-0.03277,0.01068,4.0647,0.01964,0.6824,0.0000,0.1239,0.0000,0.2212,-1.0390,134.24
78,7799688,-0.6990,1142.8,88,0.00693,0.00740,3.8998,0.02156,0.7546,0.0000,0.2169,0.0000,0.2205,-1.1364,134.82
79,7899684,0.2825,1248.5,82,-0.02680,0.00461,3.8068,0.02010,0.7246,0.0000,0.1859,0.0000,0.2185,-0.1220,134.87
80,7999680,-0.1906,1252.3,78,-0.00241,0.00381,3.9358,0.02004,0.7421,0.0000,0.2506,0.0000,0.1999,-0.6410,132.68
81,8099676,-1.4512,1102.1,87,-0.01657,0.00696,3.9162,0.01914,0.7167,0.0000,0.2036,0.0000,0.1843,-1.8391,132.55
82,8199672,1.1442,1140.7,86,-0.00945,0.00294,4.0234,0.02051,0.7889,0.0000,0.2438,0.0000,0.2027,0.6977,133.06
83,8299668,2.0554,1097.6,91,-0.01918,0.00559,3.9291,0.02088,0.8005,0.0000,0.3020,0.0000,0.2150,1.5385,137.18
84,8399664,-0.0626,1329.9,77,-0.01606,0.00348,3.8569,0.02175,0.6778,0.0000,0.3898,0.0000,0.1970,-0.6494,142.50
85,8499660,-0.2181,1051.1,95,-0.02585,0.00144,3.9232,0.02033,0.7980,0.0000,0.1361,0.0000,0.1721,-0.5263,140.57
86,8599656,0.5827,1201.6,79,-0.01533,0.00092,3.9036,0.02184,0.7947,0.0000,0.1699,0.0000,0.1596,0.2532,142.17
87,8699652,-0.2725,1186.6,84,-0.02500,0.00394,3.6470,0.02165,0.7315,0.0000,0.1149,0.0000,0.2078,-0.5952,139.44
88,8799648,0.5504,1127.6,91,0.01636,0.00253,3.9172,0.02141,0.7287,0.0000,0.2364,0.0000,0.2041,0.1099,138.40
89,8899644,1.7404,1233.3,80,0.01825,0.00758,3.9111,0.02007,0.7887,0.0000,0.2667,0.0000,0.2237,1.2500,147.93
90,8999640,-0.0969,1271.6,78,-0.01359,0.00602,3.6775,0.01973,0.7476,0.0000,0.2083,0.0000,0.2077,-0.5128,141.09
91,9099636,0.1378,1122.4,84,-0.02637,0.00751,3.9433,0.02103,0.7444,0.0000,0.4111,0.0000,0.2029,-0.4762,143.70
92,9199632,1.9461,1187.3,86,-0.01681,0.00199,3.8754,0.01971,0.6588,0.0000,0.2205,0.0000,0.2140,1.5116,146.01
93,9299628,-1.3376,1191.3,82,-0.01484,0.00474,4.0058,0.02112,0.7040,0.0000,0.0511,0.0000,0.1967,-1.5854,144.83
94,9399624,0.6976,1051.2,96,0.02319,0.00592,3.8878,0.02094,0.7468,0.0000,0.3104,0.0000,0.1789,0.2083,145.43
95,9499620,0.8716,1273.8,80,-0.02431,0.00257,4.0074,0.01981,0.7471,0.0000,0.1752,0.0000,0.1964,0.5000,144.37
96,9599616,0.2715,1087.3,88,-0.02218,0.00302,3.9195,0.02061,0.7039,0.0000,0.4231,0.0000,0.1893,-0.3409,142.02
97,9699612,1.3730,1113.0,91,-0.03040,0.00391,4.0200,0.02152,0.6609,0.0000,0.2828,0.0000,0.2111,0.8791,138.73
98,9799608,-1.9439,1290.4,76,-0.01578,0.00156,4.1549,0.02110,0.7042,0.0000,0.1426,0.0000,0.1503,-2.2368,139.79
99,9899604,1.1300,1173.2,86,-0.02834,0.00286,4.0517,0.02287,0.5664,0.0000,0.2348,0.0000,0.1975,0.6977,139.49
100,9999600,0.2218,1220.9,82,-0.03052,0.00541,3.9881,0.02258,0.7197,0.0000,0.1721,0.0000,0.1716,-0.1220,141.01
101,10099596,-0.8923,1571.6,61,0.00028,0.00130,4.0669,0.02045,0.7865,0.0000,0.3705,0.0000,0.2127,-1.4754,147.68
102,10199592,-0.9752,1452.7,67,-0.01896,0.07170,4.0969,0.02180,0.8262,0.0000,0.3450,0.0000,0.1723,-1.4925,142.28
103,10299588,0.2039,1520.9,68,-0.01824,0.00274,3.8794,0.02116,0.7142,0.0000,0.4375,0.0000,0.2076,-0.4412,138.81
104,10399584,1.1398,1545.3,63,-0.02587,0.00208,3.8969,0.02130,0.7759,0.0000,0.4407,0.0000,0.2229,0.4762,136.94
105,10499580,2.5874,1403.4,73,-0.01070,0.00110,3.9344,0.02070,0.7168,0.0000,0.3635,0.0000,0.1691,2.0548,137.27
106,10599576,0.4864,1491.1,62,-0.02500,0.01050,3.9416,0.02193,0.7118,0.0000,0.4360,0.0000,0.2117,-0.1613,136.42
107,10699572,0.1912,1640.7,63,-0.03739,0.00234,4.0481,0.02137,0.7268,0.0000,0.2838,0.0000,0.2249,-0.3175,137.11
108,10799568,1.5057,1431.6,69,-0.02091,0.00090,3.9621,0.02017,0.6985,0.0000,0.4327,0.0000,0.2034,0.8696,136.55
109,10899564,-0.1003,1518.6,67,-0.02913,0.00127,3.8396,0.02035,0.7087,0.0000,0.1384,0.0000,0.2091,-0.4478,147.28
110,10999560,0.9663,1629.8,60,-0.01022,0.00175,3.9326,0.02175,0.6766,0.0000,0.4436,0.0000,0.1894,0.3333,151.00
111,11099556,-0.0662,1405.7,67,-0.02378,0.00306,3.9930,0.02406,0.7345,0.0000,0.2044,0.0000,0.1772,-0.4478,149.05
112,11199552,0.3109,1506.9,67,-0.01362,0.00062,3.8896,0.02305,0.7073,0.0000,0.2517,0.0000,0.2085,-0.1493,142.42
113,11299548,1.0878,1687.5,59,-0.01713,0.04278,4.0246,0.02012,0.7330,0.0000,0.3449,0.0000,0.2344,0.5085,136.56
114,11399544,-0.3930,1467.5,68,-0.01286,0.00223,3.8318,0.02152,0.7656,0.0000,0.3986,0.0000,0.2378,-1.0294,137.80
115,11499540,0.0742,1491.3,68,-0.00320,0.00063,4.0018,0.02365,0.7845,0.0000,0.1957,0.0000,0.1726,-0.2941,151.84
116,11599536,0.7732,1615.2,57,-0.01832,0.00146,3.9285,0.02204,0.7796,0.0000,0.4040,0.0000,0.1937,0.1754,148.59
117,11699532,0.3752,1574.1,66,-0.02153,0.00393,3.9277,0.02046,0.6857,0.0000,0.3238,0.0000,0.2029,-0.1515,155.26
118,11799528,1.4633,1432.0,69,-0.02917,0.00133,4.0270,0.02262,0.5854,0.0000,0.2710,0.0000,0.1778,1.0145,151.86
119,11899524,1.1059,1387.8,70,0.00043,0.00269,4.0728,0.02222,0.7157,0.0000,0.3723,0.0000,0.1622,0.5714,144.41
120,11999520,1.1647,1523.8,69,-0.01268,0.00182,4.0393,0.02270,0.6794,0.0000,0.2362,0.0000,0.2039,0.7246,149.89
121,12099516,2.0088,1657.3,56,-0.01190,0.00253,4.0951,0.02323,0.4120,0.0000,0.5477,0.0000,0.2111,1.2500,146.96
122,12199512,-0.5106,1702.8,59,-0.02524,0.00236,3.9530,0.01922,0.5859,0.0000,0.2996,0.0000,0.2068,-1.0169,142.58
123,12299508,0.6523,1675.0,60,0.00104,0.00099,4.2630,0.02264,0.7562,0.0000,0.4222,0.0000,0.2302,0.0000,141.21
124,12399504,-0.2787,1739.6,59,-0.02732,0.00154,3.9339,0.02051,0.6979,0.0000,0.2017,0.0000,0.1975,-0.6780,140.07
125,12499500,0.5361,1626.1,60,-0.01953,0.04084,3.9625,0.02147,0.6353,0.0000,0.3550,0.0000,0.1811,0.0000,140.31
126,12599496,0.6578,1654.3,57,-0.02587,0.00165,3.9597,0.02023,0.7241,0.0000,0.2665,0.0000,0.2159,0.1754,140.40
127,12699492,1.1019,1636.9,60,-0.02247,0.00142,3.8983,0.02307,0.6656,0.0000,0.3919,0.0000,0.2100,0.5000,140.96
128,12799488,0.3593,1542.9,65,-0.03133,0.00110,3.8835,0.02192,0.7495,0.0000,0.3450,0.0000,0.1681,-0.1538,146.55
129,12899484,-0.1266,1525.5,67,-0.01876,0.00074,3.8929,0.02165,0.6189,0.0000,0.2461,0.0000,0.2244,-0.5970,141.66
130,12999480,0.6623,1633.3,61,-0.01892,0.00438,3.9797,0.01988,0.6171,0.0000,0.2747,0.0000,0.2237,0.1639,141.56
131,13099476,2.0266,1643.0,56,-0.03206,0.00085,3.9210,0.02445,0.6707,0.0000,0.5275,0.0000,0.2491,1.2500,140.93
132,13199472,1.6870,1627.4,64,-0.02097,0.00193,3.9750,0.02168,0.6814,0.0000,0.4079,0.0000,0.1854,1.0938,141.13
133,13299468,0.2636,1594.2,62,-0.01687,0.00229,4.0040,0.02130,0.8045,0.0000,0.3832,0.0000,0.2030,-0.3226,141.87
134,13399464,1.6328,1615.6,61,-0.02302,0.00189,3.9258,0.02370,0.7222,0.0000,0.2728,0.0000,0.2124,1.1475,141.57
135,13499460,0.0500,1584.0,63,-0.01850,0.00097,3.7048,0.02203,0.6514,0.0000,0.1664,0.0000,0.2011,-0.3175,141.86
136,13599456,1.0484,1668.9,57,-0.02120,0.11688,3.8217,0.02307,0.6387,0.0000,0.2724,0.0000,0.2497,0.5263,141.59
137,13699452,-0.7491,1574.6,63,0.00030,0.00030,3.7768,0.01991,0.7049,0.0000,0.1932,0.0000,0.1688,-1.1111,141.02
138,13799448,0.1433,1618.0,60,-0.01408,0.00066,3.6050,0.02041,0.7373,0.0000,0.2506,0.0000,0.2261,-0.3333,142.53
139,13899444,1.5103,1609.3,63,-0.02349,0.00139,3.7534,0.02183,0.6192,0.0000,0.3331,0.0000,0.2249,0.9524,143.07
140,13999440,-0.2249,1617.7,63,-0.01453,0.00081,3.5381,0.02285,0.6649,0.0000,0.3885,0.0000,0.1802,-0.7937,141.57
141,14099436,0.9024,1730.7,54,-0.01616,0.00028,3.7365,0.02256,0.6469,0.0000,0.5116,0.0000,0.2055,0.1852,141.58
142,14199432,-0.3702,1605.5,63,-0.02822,0.00157,3.6801,0.02147,0.6013,0.0000,0.2136,0.0000,0.2098,-0.7937,141.81
143,14299428,0.4516,1548.7,64,-0.01161,0.00225,3.8672,0.02252,0.5752,0.0000,0.3735,0.0000,0.2344,-0.1562,142.48
144,14399424,1.0394,1772.1,57,-0.03546,0.00195,3.7221,0.01925,0.6444,0.0000,0.2763,0.0000,0.2369,0.5263,141.03
145,14499420,1.0712,1552.2,65,-0.02722,0.00085,3.8261,0.02253,0.6509,0.0000,0.3977,0.0000,0.2120,0.4615,143.62
146,14599416,0.6423,1705.3,54,-0.01878,0.00109,3.8304,0.02115,0.6689,0.0000,0.5729,0.0000,0.2546,-0.1852,140.84
147,14699412,1.0017,1658.5,62,-0.02716,0.00379,3.7777,0.02200,0.6792,0.0000,0.3028,0.0000,0.2150,0.4839,141.24
148,14799408,0.4629,1762.4,56,-0.00701,0.00271,3.7723,0.02182,0.6445,0.0000,0.4276,0.0000,0.2139,-0.1786,153.02
149,14899404,-0.1416,1647.4,61,-0.01988,0.00258,3.8269,0.02145,0.7891,0.0000,0.2910,0.0000,0.2231,-0.6557,141.94
150,14999400,-0.8171,1666.1,62,0.04186,0.00021,3.8371,0.02101,0.7809,0.0000,0.4267,0.0000,0.2078,-1.4516,142.20
