iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term,ema_bt,bt_win_rate,bt_games,update_epochs,critic_epochs,update_early_stop
1,2400,-16.6060,319.3,6,-0.06290,3.61210,11.4164,0.05034,-0.0043,0.0000,-0.2579,-0.5147,-15.8333,24.25,1,5,0,0.1667,0.5000,0.5000,4,0,5,0.4500,0.0000,3,5,5,1
2,4800,-16.8664,469.2,5,-0.08334,1.60188,10.9579,0.05793,0.3001,0.0000,-0.2086,-1.6577,-15.0000,21.35,1,4,0,0.2000,0.5500,0.5500,4,0,4,0.4050,0.0000,2,5,5,1
3,7200,-20.2468,326.2,5,-0.08590,1.86924,10.9343,0.05438,0.3194,0.0000,-0.1162,-0.1306,-20.0000,22.97,0,5,0,0.0000,0.4950,0.4950,4,0,5,0.3645,0.0000,3,5,5,1
