iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,6000,-23.5986,430.8,12,0.01470,0.56307,11.2456,0.06799,0.0050,0.0000,-0.0007,-11.5756,-2.5223,-9.5000,14.05,6,6,0,0.5000,0.5000,0.5000,1,0,6
2,12000,-25.0442,426.8,14,-0.04600,0.29258,11.0524,0.04349,0.1702,0.0000,0.0000,-11.6684,-2.3758,-11.0000,14.65,6,8,0,0.4286,0.4929,0.4929,1,0,8
3,18000,-30.1141,409.8,12,-0.06206,0.10943,11.0370,0.04545,0.7390,0.0000,-0.0021,-11.1716,-2.4404,-16.5000,15.09,2,10,0,0.1667,0.4602,0.4602,1,0,10
4,24000,-30.1602,442.1,16,-0.08028,0.27739,10.9862,0.04439,0.8693,0.0000,0.0387,-12.9312,-2.5178,-14.7500,14.12,4,12,0,0.2500,0.4392,0.4392,1,0,12
