Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg),Health
0.0,128.181512,37.941935,8267.512548,0.642,0.121,270.088,1.0
0.1,128.181195,37.941935,8267.3994672,3.556,1.641,270.362,1.0
0.2,128.180878,37.941935,8267.247372,8.55,4.41,270.812,1.0
0.3,128.180561,37.941935,8267.1336816,15.216,6.946,271.462,1.0
0.4,128.180244,37.941935,8267.1227088,23.224,8.833,272.286,1.0
0.5,128.179926,37.941937,8267.2498104,32.366,10.102,273.258,1.0
0.6,128.179609,37.94194,8267.528092800001,42.486,10.877,274.368,1.0
0.7,128.179292,37.941944,8267.9791968,52.602,11.311,275.58,1.0
0.8,128.178975,37.941951,8268.6110472,61.538,11.508,276.911,1.0
0.9,128.178659,37.941962,8269.397736,68.887,11.495,278.393,1.0
1.0,128.178344,37.941975,8270.2920192,75.188,11.196,280.018,1.0
1.1,128.178029,37.941992,8271.2506152,80.623,10.553,281.721,1.0
1.2,128.177715,37.942013,8272.238472000001,84.896,9.62,283.41,1.0
1.3,128.177402,37.942038,8273.219928,88.225,8.454,285.023,1.0
1.4,128.17709,37.942066,8274.1629792,90.912,7.148,286.517,1.0
1.5,128.176779,37.942098,8275.0386696,93.144,5.853,287.881,1.0
1.6,128.176469,37.942134,8275.822005600001,94.979,4.68,289.132,1.0
1.7,128.17616,37.942174,8276.491956000002,96.465,3.71,290.305,1.0
1.8,128.175852,37.942217,8277.0320616,97.63,2.992,291.44,1.0
1.9,128.175546,37.942265,8277.432264000001,98.453,2.519,292.567,1.0
2.0,128.175241,37.942316,8277.6925632,98.768,2.134,293.677,1.0
2.1,128.174938,37.942372,8277.8126544,98.647,1.759,294.768,1.0
2.2,128.174636,37.94243,8277.7931472,98.272,1.386,295.838,1.0
2.3,128.174336,37.942493,8277.6361752,97.795,1.023,296.889,1.0
2.4,128.174037,37.94256,8277.343872,97.313,0.674,297.924,1.0
2.5,128.17374,37.94263,8276.918676,96.878,0.342,298.945,1.0
2.6,128.173445,37.942703,8276.3627208,96.508,0.025,299.956,1.0
2.7,128.173152,37.942781,8275.6778352,96.206,-0.277,300.959,1.0
2.8,128.172861,37.942862,8274.8655432,95.964,-0.57,301.956,1.0
2.9,128.172572,37.942946,8273.927064000001,95.771,-0.853,302.95,1.0
3.0,128.172285,37.943034,8272.8630072,95.618,-1.131,303.942,1.0
