[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team02/basic'
[claude_code/PPO] opponent pool 초기화 = iter0 정책 1개 (최대 5개, EMA α=0.1, 추가 임계 min-EMA≥0.60, 초기 EMA=0.5, 샘플 τ=0.3)
[claude_code/PPO] snapshot 저장: claude_code\models\team02\basic (iter 0 = 초기 network)
iter  26 | step 1299948 | return   -9.601 | len 1015.2 | damage  0.007 | shaping  -9.508 | ent 10.235 | kl 0.0425 | ev  0.956 | altT 9 | pool4 W/L/D 36/9/5 raw_wr 0.72 ema[min 0.499 mean 0.723]
iter  27 | step 1349946 | return   -8.096 | len 1034.4 | damage  0.000 | shaping  -8.300 | ent 10.197 | kl 0.0442 | ev  0.946 | altT 8 | pool4 W/L/D 34/8/7 raw_wr 0.69 ema[min 0.484 mean 0.731]
iter  28 | step 1399944 | return   -8.847 | len 1000.4 | damage  0.000 | shaping  -8.454 | ent 10.211 | kl 0.0447 | ev  0.961 | altT 10 | pool4 W/L/D 36/10/5 raw_wr 0.71 ema[min 0.479 mean 0.741]
iter  29 | step 1449942 | return  -10.368 | len 1066.4 | damage -0.002 | shaping  -8.810 | ent 10.175 | kl 0.0472 | ev  0.919 | altT 11 | pool4 W/L/D 30/11/4 raw_wr 0.67 ema[min 0.469 mean 0.747]
iter  30 | step 1499940 | return   -6.816 | len 1153.9 | damage  0.000 | shaping  -7.165 | ent 10.161 | kl 0.0444 | ev  0.909 | altT 6 | pool4 W/L/D 27/6/10 raw_wr 0.63 ema[min 0.462 mean 0.754]
iter  31 | step 1549938 | return   -9.385 | len 1101.1 | damage  0.007 | shaping  -8.648 | ent 10.146 | kl 0.0461 | ev  0.960 | altT 9 | pool4 W/L/D 29/9/9 raw_wr 0.62 ema[min 0.463 mean 0.760]
iter  32 | step 1599936 | return   -6.368 | len 1071.1 | damage -0.000 | shaping  -7.781 | ent 10.143 | kl 0.0445 | ev  0.952 | altT 5 | pool4 W/L/D 33/5/8 raw_wr 0.72 ema[min 0.466 mean 0.758]
iter  33 | step 1649934 | return   -3.515 | len 1056.2 | damage  0.036 | shaping  -7.092 | ent 10.018 | kl 0.0429 | ev  0.933 | altT 1 | pool4 W/L/D 38/1/9 raw_wr 0.79 ema[min 0.484 mean 0.773]
iter  34 | step 1699932 | return   -5.982 | len  995.2 | damage  0.012 | shaping  -7.525 | ent 10.106 | kl 0.0448 | ev  0.956 | altT 6 | pool4 W/L/D 39/6/4 raw_wr 0.80 ema[min 0.501 mean 0.783]
iter  35 | step 1749930 | return   -4.443 | len 1136.9 | damage  0.038 | shaping  -6.526 | ent  9.934 | kl 0.0460 | ev  0.915 | altT 3 | pool4 W/L/D 32/3/9 raw_wr 0.73 ema[min 0.509 mean 0.794]
