[claude_code/PPO] wandb 로깅 활성: project='AIP contest' run='team01/ppo_phase1'
[claude_code/PPO] opponent 초기화 = iter0 정책 (EMA α=0.05, 승격 임계 EMA≥0.60, 초기 EMA=0.5)
[claude_code/PPO] snapshot 저장: claude_code\models\team01\ppo_phase1 (iter 0 = 초기 network)
iter  27 | step 2699892 | return  -12.925 | len  649.3 | damage  0.000 | dist -13.786 | aim  0.000 | ent  6.285 | kl 0.0203 | ev  0.820 | opp(gen2) W/L/D 82/69/0 raw_wr 0.54 ema 0.503
iter  28 | step 2799888 | return  -11.184 | len  660.8 | damage  0.002 | dist -13.555 | aim  0.000 | ent  6.268 | kl 0.0235 | ev  0.835 | opp(gen2) W/L/D 94/58/0 raw_wr 0.62 ema 0.509
iter  29 | step 2899884 | return  -10.880 | len  625.1 | damage  0.006 | dist -11.694 | aim  0.000 | ent  6.252 | kl 0.0228 | ev  0.828 | opp(gen2) W/L/D 87/74/0 raw_wr 0.54 ema 0.511
iter  30 | step 2999880 | return   -9.091 | len  652.2 | damage  0.012 | dist -12.909 | aim -0.000 | ent  6.260 | kl 0.0230 | ev  0.834 | opp(gen2) W/L/D 107/48/0 raw_wr 0.69 ema 0.520
iter  31 | step 3099876 | return   -8.140 | len  648.3 | damage  0.019 | dist -12.276 | aim -0.000 | ent  6.142 | kl 0.0214 | ev  0.849 | opp(gen2) W/L/D 108/45/0 raw_wr 0.71 ema 0.529
iter  32 | step 3199872 | return   -6.570 | len  633.1 | damage  0.020 | dist -11.779 | aim  0.000 | ent  6.184 | kl 0.0211 | ev  0.831 | opp(gen2) W/L/D 120/38/0 raw_wr 0.76 ema 0.540
iter  33 | step 3299868 | return   -6.157 | len  628.1 | damage  0.016 | dist -11.923 | aim  0.000 | ent  6.146 | kl 0.0220 | ev  0.824 | opp(gen2) W/L/D 126/34/0 raw_wr 0.79 ema 0.553
iter  34 | step 3399864 | return   -4.234 | len  551.7 | damage  0.023 | dist -8.782 | aim -0.000 | ent  6.125 | kl 0.0228 | ev  0.847 | opp(gen2) W/L/D 130/49/0 raw_wr 0.73 ema 0.561
iter  35 | step 3499860 | return   -5.872 | len  610.0 | damage  0.013 | dist -10.519 | aim  0.000 | ent  6.151 | kl 0.0216 | ev  0.859 | opp(gen2) W/L/D 120/44/0 raw_wr 0.73 ema 0.570
iter  36 | step 3599856 | return   -4.013 | len  624.5 | damage  0.006 | dist -10.461 | aim  0.000 | ent  6.123 | kl 0.0210 | ev  0.845 | opp(gen2) W/L/D 134/29/0 raw_wr 0.82 ema 0.583
iter  37 | step 3699852 | return   -5.957 | len  636.7 | damage  0.015 | dist -9.843 | aim  0.000 | ent  6.043 | kl 0.0213 | ev  0.847 | opp(gen2) W/L/D 107/47/1 raw_wr 0.69 ema 0.588
iter  38 | step 3799848 | return   -6.009 | len  620.4 | damage  0.016 | dist -10.683 | aim -0.000 | ent  6.069 | kl 0.0208 | ev  0.873 | opp(gen2) W/L/D 118/43/0 raw_wr 0.73 ema 0.595
iter  39 | step 3899844 | return   -3.855 | len  625.6 | damage  0.008 | dist -10.097 | aim -0.000 | ent  6.059 | kl 0.0218 | ev  0.818 | opp(gen3) W/L/D 131/30/1 raw_wr 0.81 ema 0.500 *OPP PROMOTED (ema reset 0.5, best saved)*
iter  40 | step 3999840 | return  -13.223 | len  919.7 | damage  0.006 | dist -11.515 | aim  0.001 | ent  6.002 | kl 0.0186 | ev  0.770 | opp(gen3) W/L/D 38/56/11 raw_wr 0.36 ema 0.493
iter  41 | step 4099836 | return   -9.646 | len  930.4 | damage  0.039 | dist -10.620 | aim -0.000 | ent  5.963 | kl 0.0211 | ev  0.813 | opp(gen3) W/L/D 54/45/8 raw_wr 0.50 ema 0.494
iter  42 | step 4199832 | return  -11.252 | len 1103.9 | damage  0.009 | dist -13.372 | aim  0.000 | ent  6.017 | kl 0.0206 | ev  0.782 | opp(gen3) W/L/D 48/30/12 raw_wr 0.53 ema 0.496
iter  43 | step 4299828 | return   -7.174 | len 1038.5 | damage  0.010 | dist -8.601 | aim  0.003 | ent  5.972 | kl 0.0216 | ev  0.821 | opp(gen3) W/L/D 51/38/10 raw_wr 0.52 ema 0.497
iter  44 | step 4399824 | return   -7.478 | len 1227.3 | damage  0.012 | dist -10.615 | aim -0.000 | ent  5.977 | kl 0.0211 | ev  0.827 | opp(gen3) W/L/D 47/22/11 raw_wr 0.59 ema 0.501
iter  45 | step 4499820 | return   -4.574 | len 1098.5 | damage  0.008 | dist -9.200 | aim  0.003 | ent  5.992 | kl 0.0214 | ev  0.793 | opp(gen3) W/L/D 60/17/14 raw_wr 0.66 ema 0.509
