iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,6000,-23.5986,430.8,12,0.01470,0.56307,11.2456,0.06799,0.0050,0.0000,-0.0007,-11.5756,-2.5223,-9.5000,13.76,6,6,0,0.5000,0.5000,0.5000,1,0,6
2,12000,-25.0442,426.8,14,-0.04600,0.29258,11.0524,0.04349,0.1702,0.0000,0.0000,-11.6684,-2.3758,-11.0000,13.70,6,8,0,0.4286,0.4929,0.4929,1,0,8
3,18000,-30.1141,409.8,12,-0.06206,0.10943,11.0370,0.04545,0.7390,0.0000,-0.0021,-11.1716,-2.4404,-16.5000,13.62,2,10,0,0.1667,0.4602,0.4602,1,0,10
4,24000,-30.1602,442.1,16,-0.08028,0.27739,10.9862,0.04439,0.8693,0.0000,0.0387,-12.9312,-2.5178,-14.7500,14.86,4,12,0,0.2500,0.4392,0.4392,1,0,12
5,30000,-31.5674,428.1,14,-0.07486,0.14418,11.0007,0.04492,0.9105,0.0000,0.0000,-12.1038,-2.4636,-17.0000,14.47,2,12,0,0.1429,0.4096,0.4096,1,0,12
6,36000,-25.8651,397.1,12,-0.07448,0.09069,11.0282,0.04394,0.9193,0.0000,0.0000,-10.4504,-2.4147,-13.0000,14.04,4,8,0,0.3333,0.4020,0.4020,1,0,8
7,42000,-33.4150,409.6,18,-0.07089,0.13038,10.9641,0.04048,0.9468,0.0000,0.0000,-10.9230,-2.4920,-20.0000,14.49,0,18,0,0.0000,0.3618,0.3618,1,0,18
8,48000,-30.0325,405.8,12,-0.07650,0.09215,10.9198,0.04462,0.9444,0.0000,0.0000,-11.0040,-2.5284,-16.5000,14.33,2,10,0,0.1667,0.3422,0.3422,1,0,10
