iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,6000,-26.3191,424.7,11,0.04090,1.44187,11.2265,0.07199,-0.0195,0.0000,0.0000,-11.4317,-2.5238,-12.3636,11.13,4,7,0,0.3636,0.4864,0.4864,1,0,7
2,12000,-29.8978,438.8,13,-0.06505,0.27764,11.0972,0.04699,0.1408,0.0000,0.0000,-12.2100,-2.5340,-15.1538,11.60,3,10,0,0.2308,0.4608,0.4608,1,0,10
3,18000,-27.0871,411.3,12,-0.06772,0.07803,11.1448,0.03941,0.7869,0.0000,0.0000,-11.4394,-2.6477,-13.0000,11.37,4,8,0,0.3333,0.4481,0.4481,1,0,8
4,24000,-27.8111,428.3,13,-0.07808,0.13791,11.0733,0.04916,0.8635,0.0000,-0.0114,-11.8182,-2.4430,-13.5385,11.53,4,9,0,0.3077,0.4340,0.4340,1,0,9
5,30000,-23.2832,413.9,14,-0.08571,0.18047,11.0564,0.04380,0.8919,0.0000,0.0026,-11.2949,-2.4909,-9.5000,12.28,7,7,0,0.5000,0.4406,0.4406,1,0,7
6,36000,-25.0524,423.2,16,-0.06234,0.10667,11.0271,0.05231,0.8403,0.0000,-0.0216,-11.7040,-2.5143,-10.8125,12.40,7,9,0,0.4375,0.4403,0.4403,1,0,9
7,42000,-27.6977,431.2,13,-0.07034,0.29558,10.9673,0.04713,0.8866,0.0000,0.0000,-11.6576,-2.5016,-13.5385,12.27,4,9,0,0.3077,0.4270,0.4270,1,0,9
8,48000,-23.0540,420.7,15,-0.07217,0.12450,10.9062,0.04472,0.9243,0.0000,0.0000,-11.6545,-2.5995,-8.8000,12.66,8,7,0,0.5333,0.4377,0.4377,1,0,7
