iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
32,1599936,-6.3684,1071.1,46,-0.03737,0.00235,10.1429,0.04452,0.9522,0.0000,-0.0004,-7.7811,1.4130,108.65,33,5,8,0.7174,0.7577,0.4663,4,0,5
33,1649934,-3.5150,1056.2,48,-0.03571,0.00347,10.0180,0.04287,0.9333,0.0000,0.0357,-7.0924,3.5417,108.85,38,1,9,0.7917,0.7730,0.4840,4,0,1
34,1699932,-5.9823,995.2,49,-0.03999,0.00202,10.1063,0.04478,0.9556,0.0000,0.0121,-7.5249,1.5306,108.76,39,6,4,0.7959,0.7829,0.5010,4,0,6
35,1749930,-4.4426,1136.9,44,-0.00999,0.00428,9.9340,0.04596,0.9150,0.0000,0.0382,-6.5262,2.0455,108.57,32,3,9,0.7273,0.7943,0.5095,4,0,3
36,1799928,-2.7926,1025.4,48,-0.01688,0.00272,9.9712,0.04492,0.9557,0.0000,0.0066,-5.8200,3.0208,109.27,37,2,9,0.7708,0.8050,0.5193,4,0,2
37,1849926,-3.8121,1150.0,44,-0.02750,0.00237,9.9982,0.04408,0.9528,0.0000,0.0000,-5.8576,2.0455,109.36,30,3,11,0.6818,0.8083,0.5192,4,0,3
38,1899924,-2.8084,968.3,54,-0.02997,0.00191,9.9250,0.04361,0.9522,0.0000,-0.0102,-6.4093,3.6111,109.23,43,1,10,0.7963,0.8189,0.5329,4,0,1
39,1949922,-2.2717,1009.1,48,-0.02279,0.00266,9.9072,0.04413,0.9252,0.0000,-0.0016,-5.4993,3.2292,109.04,39,2,7,0.8125,0.8280,0.5436,4,0,2
40,1999920,-1.1805,886.5,58,-0.03960,0.00334,9.8807,0.04497,0.9469,0.0000,0.0299,-5.3483,4.1379,108.66,52,1,5,0.8966,0.8387,0.5707,4,0,1
41,2049918,-1.3212,951.1,50,-0.01076,0.00146,9.8689,0.04455,0.8996,0.0000,0.0000,-5.2212,3.9000,108.94,43,1,6,0.8600,0.8472,0.5832,4,0,1
42,2099916,-0.8184,931.7,55,-0.02583,0.00285,9.7414,0.04336,0.9267,0.0000,0.0316,-4.5773,3.7273,109.19,49,2,4,0.8909,0.7810,0.5000,5,1,2
43,2149914,-1.3520,1172.8,38,-0.00608,0.00113,9.8709,0.04103,0.9585,0.0000,0.0843,-4.8573,3.4211,108.33,28,1,9,0.7368,0.7855,0.4773,5,0,0
44,2199912,-2.5992,1353.5,38,-0.02155,0.00063,9.8381,0.04017,0.9562,0.0000,0.0189,-5.1181,2.5000,108.73,21,1,16,0.5526,0.7845,0.4413,5,0,0
45,2249910,-2.4215,1223.3,40,-0.02888,0.00126,9.7632,0.04264,0.9255,0.0000,0.0065,-3.8029,1.3750,108.34,23,4,13,0.5750,0.7772,0.4172,5,0,3
46,2299908,-0.9933,1144.9,42,-0.03975,0.00089,9.7494,0.04508,0.9397,0.0000,0.0088,-4.4545,3.4524,108.76,30,1,11,0.7143,0.7809,0.3908,5,0,0
47,2349906,-2.0979,1588.2,33,-0.02607,0.00078,9.7767,0.04078,0.9263,0.0000,0.0387,-3.9548,1.8182,108.31,13,0,20,0.3939,0.7720,0.3618,5,0,0
48,2399904,-1.4688,1206.0,41,-0.03079,0.00231,9.6756,0.04084,0.9562,0.0000,0.0823,-3.8682,2.3171,108.81,24,1,16,0.5854,0.7735,0.3373,5,0,1
49,2449902,-1.4710,1312.3,40,-0.04929,0.00150,9.6973,0.03983,0.9121,0.0000,-0.0009,-3.7201,2.2500,110.15,24,2,14,0.6000,0.7822,0.3340,5,0,1
50,2499900,-2.9496,1591.1,31,-0.03408,0.00072,9.7065,0.03858,0.9175,0.0000,0.0207,-3.7767,0.8065,108.06,11,1,19,0.3548,0.7792,0.3102,5,0,1
51,2549898,-1.4881,1479.6,32,-0.02338,0.00098,9.6084,0.03948,0.9348,0.0000,0.0051,-2.8994,1.4062,107.67,13,1,18,0.4062,0.7754,0.2897,5,0,1
