iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_shaping,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
131,6549738,3.8347,1069.8,46,-0.04210,0.00087,8.1612,0.03439,0.9794,0.0000,0.1120,0.2444,3.4783,114.92,40,1,5,0.8696,0.7973,0.5000,5,1,0
132,6599736,2.3586,1459.3,31,-0.04736,0.00127,8.0967,0.03461,0.9091,0.0000,0.0885,0.1732,2.0968,109.86,15,6,10,0.4839,0.7915,0.4571,5,0,0
133,6649734,2.3658,1701.0,27,-0.03665,0.00102,8.0974,0.03328,0.8982,0.0000,0.1048,1.1499,1.1111,108.56,12,3,12,0.4444,0.7899,0.4248,5,0,0
134,6699732,1.8029,1634.2,32,-0.04292,0.00148,8.0203,0.03364,0.7675,0.0000,-0.0101,0.4068,1.4062,112.57,14,5,13,0.4375,0.7791,0.4086,5,0,0
135,6749730,3.8439,1373.6,37,-0.05075,0.00115,8.0921,0.03519,0.9445,0.0000,0.1084,0.8976,2.8378,108.95,25,2,10,0.6757,0.7798,0.3859,5,0,0
136,6799728,1.9541,1556.1,32,-0.04132,0.00141,8.0669,0.03337,0.9392,0.0000,0.1018,0.1335,1.7188,108.28,13,3,16,0.4062,0.7740,0.3584,5,0,0
137,6849726,2.3921,1618.0,31,-0.05292,0.00072,7.9080,0.03332,0.9401,0.0000,0.0083,0.9322,1.4516,108.95,12,2,17,0.3871,0.7706,0.3288,5,0,0
138,6899724,2.4198,1792.6,28,-0.05198,0.00081,7.9910,0.03267,0.9367,0.0000,-0.0233,1.3716,1.0714,108.67,8,3,17,0.2857,0.7704,0.3055,5,0,0
139,6949722,2.6745,1740.9,29,-0.03641,0.00068,7.9647,0.03306,0.9368,0.0000,0.1387,1.5013,1.0345,109.07,9,3,17,0.3103,0.7651,0.2749,5,0,0
140,6999720,2.9909,1812.3,26,-0.04861,0.00069,7.9105,0.03394,0.9396,0.0000,0.0942,2.1275,0.7692,118.24,7,2,17,0.2692,0.7547,0.2724,5,0,0
141,7049718,2.9492,1578.5,34,-0.04999,0.00112,7.9349,0.03288,0.9457,0.0000,0.0692,1.2623,1.6176,119.31,17,2,15,0.5000,0.7630,0.2642,5,0,0
142,7099716,3.1663,1662.9,30,-0.04509,0.00059,7.9544,0.03441,0.9161,0.0000,0.1903,1.6426,1.3333,115.28,16,2,12,0.5333,0.7693,0.2712,5,0,0
143,7149714,3.4294,1850.0,26,-0.04629,0.00085,8.0126,0.03473,0.9247,0.0000,0.0950,2.3729,0.9615,114.81,9,2,15,0.3462,0.7666,0.2503,5,0,0
144,7199712,1.7405,1782.2,29,-0.03104,0.00099,7.8039,0.03401,0.8675,0.0000,0.1215,1.6190,0.0000,115.29,16,4,9,0.5517,0.7700,0.2753,5,0,1
145,7249710,2.4155,1776.5,29,-0.03356,0.00075,7.8934,0.03297,0.9537,0.0000,0.1162,1.4372,0.8621,124.68,11,2,16,0.3793,0.7660,0.2727,5,0,0
146,7299708,3.0298,1674.6,30,-0.02776,0.00091,7.7956,0.03382,0.9476,0.0000,0.1169,1.7463,1.1667,118.84,13,5,12,0.4333,0.7671,0.2718,5,0,0
147,7349706,4.0355,1862.7,26,-0.03750,0.00092,7.8447,0.03442,0.9188,0.0000,0.4877,2.7786,0.7692,122.57,19,0,7,0.7308,0.7798,0.3017,5,0,0
148,7399704,2.8780,1568.1,32,-0.05170,0.00105,7.9679,0.03338,0.9550,0.0000,0.1219,1.1935,1.5625,119.64,18,5,9,0.5625,0.7885,0.3049,5,0,0
149,7449702,2.8866,1652.3,30,-0.03664,0.00252,7.9502,0.03398,0.9037,0.0000,0.3151,1.9048,0.6667,122.76,14,5,11,0.4667,0.7936,0.2944,5,0,1
150,7499700,2.7981,1446.1,34,-0.01981,0.00065,7.8728,0.03371,0.9675,0.0000,0.0245,0.7148,2.0588,120.83,18,1,15,0.5294,0.7983,0.2850,5,0,0
151,7549698,3.2508,1645.8,32,-0.04125,0.00111,7.8405,0.03370,0.9505,0.0000,0.1179,1.8829,1.2500,118.40,18,5,9,0.5625,0.8025,0.2946,5,0,0
152,7599696,3.3639,1737.4,26,-0.05352,0.00074,7.8132,0.03398,0.9401,0.0000,0.2110,1.9991,1.1538,126.68,12,2,12,0.4615,0.7992,0.3001,5,0,0
153,7649694,2.9046,1634.7,32,-0.05609,0.00094,7.8350,0.03256,0.9323,0.0000,0.0094,2.1139,0.7812,126.95,13,4,15,0.4062,0.7947,0.2806,5,0,1
154,7699692,3.9949,1589.7,31,-0.02538,0.00084,7.8128,0.03296,0.9509,0.0000,0.1237,2.0970,1.7742,123.09,17,3,11,0.5484,0.7950,0.2761,5,0,0
155,7749690,4.3454,1678.7,30,-0.02714,0.00076,7.7341,0.03477,0.8185,0.0000,0.3017,2.7104,1.3333,122.84,17,2,11,0.5667,0.8008,0.2763,5,0,0
156,7799688,3.9451,1609.8,30,-0.03634,0.00084,7.7305,0.03398,0.8801,0.0000,0.1655,2.2795,1.5000,118.77,23,1,6,0.7667,0.8138,0.3136,5,0,0
157,7849686,4.4537,1803.4,29,-0.04007,0.00149,7.6333,0.03269,0.9364,0.0000,0.3315,3.4326,0.6897,116.31,17,4,8,0.5862,0.8156,0.3267,5,0,0
158,7899684,3.3077,1769.5,29,-0.04789,0.00069,7.8308,0.03273,0.9561,0.0000,0.2097,2.2359,0.8621,118.62,16,2,11,0.5517,0.8163,0.3395,5,0,0
159,7949682,4.4617,1648.4,30,-0.05105,0.00101,7.7279,0.03384,0.9353,0.0000,0.2919,2.6698,1.5000,117.94,16,0,14,0.5333,0.8086,0.3505,5,0,0
160,7999680,4.0997,1600.9,32,-0.04770,0.00092,7.7196,0.03435,0.9607,0.0000,0.1760,2.2050,1.7188,124.17,19,2,11,0.5938,0.8098,0.3544,5,0,0
161,8049678,4.1151,1461.2,33,-0.05080,0.00067,7.9320,0.03364,0.9717,0.0000,0.2731,1.7208,2.1212,126.82,23,2,8,0.6970,0.8103,0.3689,5,0,0
