iteration,global_step,mean_return,mean_length,completed_episodes,policy_loss,value_loss,entropy,approx_kl,explained_variance,ep_pursuit,ep_damage,ep_distance,ep_aim,ep_terminal,elapsed_sec,win,loss,draw,raw_win_rate,ema_mean,ema_min,pool_size,opp_added,altitude_term
1,6000,-26.3191,424.7,11,0.04090,1.44187,11.2265,0.07199,-0.0195,0.0000,0.0000,-11.4317,-2.5238,-12.3636,11.08,4,7,0,0.3636,0.4864,0.4864,1,0,7
2,12000,-29.8978,438.8,13,-0.06505,0.27764,11.0972,0.04699,0.1408,0.0000,0.0000,-12.2100,-2.5340,-15.1538,11.24,3,10,0,0.2308,0.4608,0.4608,1,0,10
